event,party,window,total_tweets,positive_ratio
Trump Assassination Attempt,democrat,pre,2212876,0.4552139387837366
Trump Assassination Attempt,democrat,post,2333371,0.41312161675104386
Trump Assassination Attempt,republican,pre,356048,0.5153434368399766
Trump Assassination Attempt,republican,post,1147269,0.48238294593508585
Harris Nomination,democrat,pre,3118244,0.42857101625145433
Harris Nomination,democrat,post,625404,0.48582995951417
Harris Nomination,republican,pre,1414785,0.49477835854917884
Harris Nomination,republican,post,284581,0.5067801434389506
Election Day,democrat,pre,354513,0.47048768310329947
Election Day,democrat,post,309114,0.4827701107034945
Election Day,republican,pre,168442,0.5748685007302217
Election Day,republican,post,177017,0.6722009750475944
