party,week,total_tweets,positive_tweets,negative_tweets,positive_ratio,negative_ratio
democrat,2009-10-12,4,3,1,0.75,0.25
democrat,2009-10-19,2,0,2,0.0,1.0
democrat,2009-11-02,2,1,1,0.5,0.5
democrat,2009-11-23,2,1,1,0.5,0.5
democrat,2009-12-21,2,2,0,1.0,0.0
democrat,2010-01-18,3,1,2,0.3333333333333333,0.6666666666666666
democrat,2010-01-25,1,1,0,1.0,0.0
democrat,2010-02-08,3,0,3,0.0,1.0
democrat,2010-02-15,1,0,1,0.0,1.0
democrat,2010-03-01,6,6,0,1.0,0.0
democrat,2010-03-08,4,3,1,0.75,0.25
democrat,2010-03-15,5,3,2,0.6,0.4
democrat,2010-03-22,2,0,2,0.0,1.0
democrat,2010-03-29,1,1,0,1.0,0.0
democrat,2010-04-12,1,1,0,1.0,0.0
democrat,2010-04-26,1,0,1,0.0,1.0
democrat,2010-05-10,2,0,2,0.0,1.0
democrat,2010-05-24,2,2,0,1.0,0.0
democrat,2011-08-08,1,0,1,0.0,1.0
democrat,2011-09-05,1,1,0,1.0,0.0
democrat,2012-01-02,1,0,1,0.0,1.0
democrat,2012-04-30,1,0,1,0.0,1.0
democrat,2012-06-11,1,0,1,0.0,1.0
democrat,2012-06-25,2,1,1,0.5,0.5
democrat,2012-07-02,20,3,17,0.15,0.85
democrat,2012-09-03,1,0,1,0.0,1.0
democrat,2013-04-15,1,1,0,1.0,0.0
democrat,2013-09-16,1,0,1,0.0,1.0
democrat,2013-09-23,1,1,0,1.0,0.0
democrat,2013-10-28,1,0,1,0.0,1.0
democrat,2014-01-06,1,0,1,0.0,1.0
democrat,2014-02-17,1,0,1,0.0,1.0
democrat,2014-05-05,1,0,1,0.0,1.0
democrat,2014-05-12,1,1,0,1.0,0.0
democrat,2014-08-18,1,1,0,1.0,0.0
democrat,2014-08-25,4,4,0,1.0,0.0
democrat,2014-11-03,1,1,0,1.0,0.0
democrat,2015-04-27,1,0,1,0.0,1.0
democrat,2015-05-11,1,1,0,1.0,0.0
democrat,2015-08-17,1,1,0,1.0,0.0
democrat,2015-08-31,1,1,0,1.0,0.0
